id,gys_id,fkzh_id,mc,fhdlx,dzxx,fhd,xm,dh,zw,djfz,create_by,create_time,update_by,update_time,remark,data_key,authorized_key
3,2,25,金盛兰,0,"{""type"":""poi"",""id"":""B02CB0NU8T"",""name"":""湖北金盛兰冶金科技有限公司"",""address"":""湖北省咸宁市嘉鱼县"",""gps"":[113.829948,29.915534],""customName"":""""}",1,,,,金盛兰,admin,2022-03-11 15:54:47,dsadmin,2023-02-13 11:24:57,,,
4,3,36,武新一期,0,"{""type"":""poi"",""id"":""B0FFF05ARF"",""name"":""武汉武新新型建材有限公司"",""address"":""湖北省武汉市青山区"",""gps"":[114.438879,30.64404],""customName"":""""}",1,,,,武新,admin,2022-03-11 15:55:15,admin,2024-01-19 23:04:25,,,
5,3,36,武新二期,0,"{""type"":""poi"",""id"":""B0FFF05ARF"",""name"":""武汉武新新型建材有限公司"",""address"":""湖北省武汉市青山区"",""gps"":[114.438879,30.64404],""customName"":""""}",1,,,,武新,admin,2022-03-11 15:55:27,admin,2024-01-19 23:04:36,,,
6,4,,华新,0,"{""type"":""poi"",""id"":""B0FFLEEP82"",""name"":""华新水泥(阳新)有限公司"",""address"":""湖北省黄石市阳新县"",""gps"":[115.279319,30.111642],""customName"":""""}",1,,,,华新,admin,2022-03-11 15:58:37,dsadmin,2023-02-13 11:25:03,,,
7,6,,池州海螺,0,"{""type"":""poi"",""id"":""B0FFG0G0MO"",""name"":""池州海螺码头分厂"",""address"":""安徽省池州市贵池区"",""gps"":[117.218529,30.470497],""customName"":""""}",0,,,,,dsadmin,2022-03-24 13:34:36,dsadmin,2022-04-19 14:05:47,,,
8,5,,重庆东方希望,0,"{""type"":""poi"",""id"":""B0FFHMNAUJ"",""name"":""东方希望重庆水泥有限公司(东门)"",""address"":""重庆市丰都县"",""gps"":[107.616464,29.832631],""customName"":""""}",0,,,,,dsadmin,2022-03-24 13:35:13,dsadmin,2022-07-21 14:51:54,,,
9,6,,铜陵海螺,0,"{""type"":""poi"",""id"":""B0FFKNR54F"",""name"":""铜陵海螺码头"",""address"":""安徽省铜陵市郊区"",""gps"":[117.740025,30.864605],""customName"":""""}",0,,,,,dsadmin,2022-04-15 10:09:57,dsadmin,2022-04-19 14:05:40,,,
10,9,,三峡嘉鱼,0,"{""type"":""poi"",""id"":""BV10060924"",""name"":""古田二路(地铁站)"",""address"":""湖北省武汉市硚口区"",""gps"":[114.196667,30.597536],""customName"":""""}",1,,,,三峡,dsadmin,2022-05-13 14:20:41,dsadmin,2023-02-13 11:25:55,,,
11,6,,庐山海螺,0,"{""type"":""raw"",""id"":"""",""name"":"""",""address"":""江西省九江市湖口县舜德乡下青山鄱阳湖国家级自然保护区"",""gps"":[116.132443,29.592569],""customName"":""""}",0,,,,,zhou,2022-06-02 11:19:16,zhou,2022-09-07 16:02:03,,,
12,33,,重庆海螺,0,"{""type"":""poi"",""id"":""B0FFHYGZVU"",""name"":""忠县滨江公园"",""address"":""重庆市忠县"",""gps"":[108.071808,30.31312],""customName"":""""}",0,,,,,zhou,2022-06-02 11:28:00,dsadmin,2022-07-21 14:44:20,,,
13,12,,鄂钢嘉华,0,"{""type"":""poi"",""id"":""B0FFG2D41Q"",""name"":""湖北鄂钢嘉华新型建材有限公司"",""address"":""湖北省鄂州市鄂城区"",""gps"":[114.860509,30.375031],""customName"":""""}",1,,,,鄂钢嘉华,dsadmin,2022-07-19 08:14:53,dsadmin,2023-02-13 11:27:48,,,
14,29,,鑫缘,0,"{""type"":""poi"",""id"":""B0FFGFSJWY"",""name"":""武汉鑫缘绿色冶金渣技术开发有限公司"",""address"":""湖北省武汉市青山区"",""gps"":[114.476726,30.617535],""customName"":""""}",1,,,,鑫缘,dsadmin,2022-07-21 14:45:04,dsadmin,2023-02-13 11:27:39,,,
15,38,,重庆海螺,0,,0,,,,,zhou,2022-08-19 14:51:39,zhou,2022-08-19 14:51:39,,,
16,38,,重庆海螺——厦门,0,,0,,,,,dsadmin,2022-08-29 16:08:22,dsadmin,2022-08-29 16:08:22,,,
17,16,,重庆海螺—广西,0,,0,,,,,dsadmin,2022-08-29 16:18:33,dsadmin,2022-08-29 16:18:33,,,
18,15,,三峡水泥,0,null,1,,,,测试1,zhou,2022-11-18 20:25:20,admin,2023-06-25 16:52:34,,,
19,42,,娲石水泥,0,"{""type"":""poi"",""id"":""B0FFFXXNY2"",""name"":""武汉娲石商砼有限公司"",""address"":""湖北省武汉市新洲区"",""gps"":[114.572252,30.627905],""customName"":""""}",1,,,,娲石水泥,zhou,2023-02-23 15:50:55,zhou,2023-02-23 18:15:28,,,
20,44,,海螺军山库,0,,1,,,,,dsadmin,2023-08-31 17:18:01,dsadmin,2023-08-31 17:18:01,,,
21,47,,荆楚宏盛,0,,0,,,,,chediao,2024-04-01 18:32:52,chediao,2024-04-01 18:32:52,,,
