id,gysmc,gyslx,hplx,fylx,gs,dwmc,sh,xm,dh,zw,create_by,create_time,update_by,update_time,remark,data_key,authorized_key
2,湖北金盛兰冶金科技有限公司,1,1,"[""2""]",0,,,,,,admin,2022-03-11 15:51:49,DS02001,2022-11-29 11:09:48,,,
3,武汉武新新型建材股份有限公司,0,1,"[""0"",""1""]",0,,,,,,admin,2022-03-11 15:52:17,dsadmin,2022-07-21 14:15:23,,,
4,华新水泥（阳新）有限公司,0,0,"[""0"",""1""]",0,,,,,,admin,2022-03-11 15:52:48,dsadmin,2022-07-21 14:15:29,,,
5,东方希望重庆水泥有限公司,0,0,"[""0"",""1""]",0,,,,,,dsadmin,2022-03-21 12:11:35,dsadmin,2022-07-21 14:15:35,,,
6,无锡海螺水泥销售有限公司,0,0,"[""0"",""1""]",0,,,,,,dsadmin,2022-03-21 12:11:46,dsadmin,2022-07-21 14:15:40,,,
7,安庆立荣航运有限公司,1,,"[""2""]",0,,,,,,admin,2022-04-08 12:45:53,dsadmin,2022-07-21 14:15:51,,,
8,武汉德旺港口物流有限公司,3,,"[""3"",""2""]",0,,,,,,admin,2022-04-29 15:40:48,dsadmin,2022-07-21 14:15:59,原名鄂渝飞之虎码头,,
9,葛洲坝嘉鱼水泥有限公司,0,,"[""0"",""1""]",0,,,,,,dsadmin,2022-05-13 14:20:19,dsadmin,2022-07-21 14:17:07,,,
10,武汉正辉浩隆储运有限公司（李良中起驳码头）,3,,"[""3""]",0,,,,,,dsadmin,2022-06-20 09:32:36,dsadmin,2022-07-21 14:48:25,,,
12,湖北鄂钢嘉华新型建材有限公司,0,,"[""0"",""1""]",0,,,,,,dsadmin,2022-07-19 08:11:44,dsadmin,2022-07-21 14:17:31,,,
13,常德灵凯建材有限公司,0,,"[""0"",""1""]",0,,,,,,dsadmin,2022-07-21 14:19:59,dsadmin,2022-07-21 14:19:59,,,
14,葛洲坝当阳水泥有限公司,0,,"[""0"",""1""]",0,,,,,,dsadmin,2022-07-21 14:36:17,dsadmin,2022-07-21 14:36:17,,,
15,葛洲坝松滋水泥有限公司,0,,"[""0"",""1""]",0,,,,,,dsadmin,2022-07-21 14:36:23,dsadmin,2022-07-21 14:36:23,,,
16,广西闽投贸易有限公司,0,,"[""0"",""1""]",0,,,,,,dsadmin,2022-07-21 14:36:30,dsadmin,2022-07-21 14:36:30,,,
17,湖北嘉通物流有限公司,3,,"[""8""]",0,,,,,,dsadmin,2022-07-21 14:36:52,dsadmin,2022-07-21 14:36:52,,,
18,湖北凯瑟琳商贸有限公司,0,,"[""0"",""1""]",0,,,,,,dsadmin,2022-07-21 14:37:07,dsadmin,2022-07-21 14:37:07,,,
19,湖北凌宇商贸有限公司,2,,"[""6""]",0,,,,,,dsadmin,2022-07-21 14:37:21,dsadmin,2022-07-21 14:37:21,,,
20,湖南鼎龙物流服务有限公司,2,,"[""6""]",0,,,,,,dsadmin,2022-07-21 14:37:33,dsadmin,2022-07-21 14:37:33,,,
21,黄冈瑞佳运输有限公司,1,,"[""2""]",0,,,,,,dsadmin,2022-07-21 14:37:45,dsadmin,2022-07-21 14:37:45,,,
22,嘉鱼县嘉裕隆物流有限公司,1,,"[""2""]",0,,,,,,dsadmin,2022-07-21 14:38:00,dsadmin,2022-07-21 14:38:00,,,
23,荆州市福兴建材股份有限公司,0,,"[""0"",""1""]",0,,,,,,dsadmin,2022-07-21 14:38:07,dsadmin,2022-07-21 14:38:07,,,
24,李方柏（苟于钦）,4,,"[""4""]",0,,,,,,dsadmin,2022-07-21 14:38:19,dsadmin,2022-07-21 14:38:19,,,
25,上海海螺物流有限公司,1,,"[""2""]",0,,,,,,dsadmin,2022-07-21 14:38:36,dsadmin,2022-07-21 14:38:36,,,
26,武汉赣隆物流有限公司,2,,"[""7""]",0,,,,,,dsadmin,2022-07-21 14:38:56,dsadmin,2022-07-21 14:38:56,,,
27,武汉市盛大材料有限责任公司,3,,"[""3""]",0,,,,,,dsadmin,2022-07-21 14:39:09,dsadmin,2022-07-21 14:39:09,,,
28,武汉市盛聚诚装卸服务有限公司,3,,"[""3""]",0,,,,,,dsadmin,2022-07-21 14:39:20,dsadmin,2022-07-21 14:39:20,,,
29,武汉鑫缘绿色冶金渣科技发展有限公司,0,,"[""0"",""1""]",0,,,,,,dsadmin,2022-07-21 14:39:43,dsadmin,2022-07-21 14:39:43,,,
30,浠水鸿源运输有限公司,1,,"[""2""]",0,,,,,,dsadmin,2022-07-21 14:39:57,dsadmin,2022-07-21 14:39:57,,,
31,重庆先胜船务有限公司,1,,"[""2""]",0,,,,,,dsadmin,2022-07-21 14:40:08,dsadmin,2022-07-21 14:40:08,,,
32,浠水县鸿运轮船有限责任公司,1,,"[""2""]",0,,,,,,dsadmin,2022-07-21 14:40:19,dsadmin,2022-07-21 14:40:19,,,
33,重庆海螺物资贸易有限责任公司,0,,"[""0"",""1""]",0,,,,,,dsadmin,2022-07-21 14:40:45,dsadmin,2022-07-21 14:40:45,,,
34,江西省瑞昌江海运输有限公司,1,,"[""2""]",0,,,,,,dsadmin,2022-07-21 14:40:56,dsadmin,2022-07-21 14:40:56,,,
35,武汉市嘉琳锐工贸有限公司（李良中矿粉）,0,,"[""0"",""1""]",0,,,,,,dsadmin,2022-07-21 14:41:05,dsadmin,2022-07-21 14:41:05,,,
36,祁树松（黄冈起驳码头）,3,,"[""3""]",0,,,,,,dsadmin,2022-07-21 14:41:17,dsadmin,2022-07-21 14:41:17,,,
37,芜湖明瑞运贸有限公司,1,,"[""2""]",0,,,,,,DS02001,2022-08-19 13:27:47,DS02001,2022-08-19 13:27:47,,,
38,厦门南成商贸有限公司,0,,"[""0"",""1""]",0,,,,,,DS02001,2022-08-29 16:01:13,DS02001,2022-08-29 16:01:13,,,
39,东方希望重庆物有限公司,1,,"[""2"",""1""]",0,,,,,,DS02001,2022-10-17 15:28:59,DS02001,2022-10-17 15:28:59,,,
40,宜昌金吉海国际物流有限公司,1,,"[""2""]",0,,,,,,DS02001,2022-11-29 11:09:10,DS02001,2022-11-29 11:15:52,,,
41,武汉保盛华船务有限公司,1,,"[""2""]",0,,,,,,DS02001,2023-01-06 13:17:57,DS02001,2023-01-06 13:17:57,,,
42,娲石水泥集团有限公司,0,,"[""0"",""1""]",0,娲石水泥集团有限公司,,,,,zhou,2023-02-23 15:49:33,zhou,2023-02-23 15:49:33,,,
44,海螺军山库,0,,"[""0"",""1""]",0,,,,,,dsadmin,2023-08-31 11:45:45,dsadmin,2023-08-31 11:45:45,,,
47,荆楚宏盛,0,,"[""0"",""1""]",0,,,,,,chediao,2024-04-01 18:31:02,chediao,2024-04-01 18:31:02,,,
